date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:57	85577/85577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214e49-565a3f855cb00-gzip%22	https://preview.colorlib.com/theme/photography/js/vendor/jquery-2.2.4.min.js	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/js/vendor/jquery-2.2.4.min.js	(from https://preview.colorlib.com/theme/photography/)
14:45:57	19033/19033	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4a59%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	C:/My%20Web%20Sites/dgd/cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	(from https://preview.colorlib.com/theme/photography/)
14:45:58	57238/57238	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/photography/js/vendor,_bootstrap.min.js+jquery.ajaxchimp.min.js.pagespeed.jc.qoYHfLhftL.js	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/js/vendor,_bootstrap.min.js+jquery.ajaxchimp.min.js.pagespeed.jc.qoYHfLhftL.js	(from https://preview.colorlib.com/theme/photography/)
14:45:59	71343/71343	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/photography/js/owl.carousel.min.js+jquery.nice-select.min.js+jquery.sticky.js+parallax.min.js+simple-lightbox.min.js+main.js.pagespeed.jc.9wXCcNns7K.js	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/js/owl.carousel.min.js+jquery.nice-select.min.js+jquery.sticky.js+parallax.min.js+simple-lightbox.min.js+main.js.pagespeed.jc.9wXCcNns7K.js	(from https://preview.colorlib.com/theme/photography/)
14:46:08	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-565a3e0d9d480%22	https://preview.colorlib.com/theme/photography/fonts/Linearicons-Free.eot?w118d	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/Linearicons-Free54e9.eot	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:08	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-565a3e0d9d480%22	https://preview.colorlib.com/theme/photography/fonts/Linearicons-Free.eot?	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/Linearicons-Freed41d.eot	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:08	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd700-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	C:/My%20Web%20Sites/dgd/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://preview.colorlib.com/theme/photography/)
14:46:09	21780/21780	---M--	200	added ('OK')	font/woff2	etag:%225514-565a3e181ad40%22	https://preview.colorlib.com/theme/photography/fonts/Linearicons-Free.woff2?w118d	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/Linearicons-Free54e9.woff2	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:09	55696/55696	---M--	200	added ('OK')	font/woff	etag:%22d990-565a3e1dd3ac0%22	https://preview.colorlib.com/theme/photography/fonts/Linearicons-Free.woff?w118d	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/Linearicons-Free54e9.woff	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:10	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2232417-565a3e116dd80%22	https://preview.colorlib.com/theme/photography/fonts/Linearicons-Free.svg?w118d	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/Linearicons-Free54e9.svg	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:10	55620/55620	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d944-565a3e1356200%22	https://preview.colorlib.com/theme/photography/fonts/Linearicons-Free.ttf?w118d	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/Linearicons-Free54e9.ttf	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
